Variable,Year,Province,Value,Admin_Lvl,Region,Unit
Magnitude of Subsistence Poor Population,2021,Lanao del Norte,165,Province,Region X,population
Magnitude of Subsistence Poor Population,2021,Misamis Occidental,39,Province,Region X,population
Magnitude of Subsistence Poor Population,2021,Misamis Oriental,88,Province,Region X,population
Magnitude of Subsistence Poor Population,2021,Region XI,271,Region,Region XI,population
Magnitude of Subsistence Poor Population,2021,Davao del Norte,31,Province,Region XI,population
Magnitude of Subsistence Poor Population,2021,Davao del Sur,75,Province,Region XI,population
Magnitude of Subsistence Poor Population,2021,Davao Oriental,47,Province,Region XI,population
Magnitude of Subsistence Poor Population,2021,Davao de Oro,54,Province,Region XI,population
Magnitude of Subsistence Poor Population,2021,Davao Occidental,64,Province,Region XI,population
Magnitude of Subsistence Poor Population,2021,Region XII,595,Region,Region XII,population
Magnitude of Subsistence Poor Population,2021,Cotabato,214,Province,Region XII,population
Magnitude of Subsistence Poor Population,2021,Sarangani,112,Province,Region XII,population
Magnitude of Subsistence Poor Population,2021,South Cotabato,104,Province,Region XII,population
Magnitude of Subsistence Poor Population,2021,Sultan Kudarat,114,Province,Region XII,population
Magnitude of Subsistence Poor Population,2021,Cotabato City,51,Province,Region XII,population
Magnitude of Subsistence Poor Population,2021,Region XIII,357,Region,Region XIII,population
Magnitude of Subsistence Poor Population,2021,Agusan del Norte,88,Province,Region XIII,population
Magnitude of Subsistence Poor Population,2021,Agusan del Sur,127,Province,Region XIII,population
Magnitude of Subsistence Poor Population,2021,Surigao Del Norte,57,Province,Region XIII,population
Magnitude of Subsistence Poor Population,2021,Surigao Del Sur,68,Province,Region XIII,population
Magnitude of Subsistence Poor Population,2021,Dinagat Islands,17,Province,Region XIII,population
Magnitude of Subsistence Poor Population,2021,ARMM,536,Region,ARMM,population
Magnitude of Subsistence Poor Population,2021,Basilan,94,Province,ARMM,population
Magnitude of Subsistence Poor Population,2021,Lanao del Sur,5,Province,ARMM,population
Magnitude of Subsistence Poor Population,2021,Maguindanao,168,Province,ARMM,population
Magnitude of Subsistence Poor Population,2021,Sulu,226,Province,ARMM,population
Magnitude of Subsistence Poor Population,2021,Tawi-tawi,42,Province,ARMM,population
